Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

[   0% ] first_scan_filesystem | Started Projektinitialisierung (5 steps)
[  73% ] reimport | Dateien zum Neuimport vorbereiten …
[  76% ] reimport | Dateien zum Neuimport vorbereiten …
[  78% ] reimport | Dateien zum Neuimport vorbereiten …
[  80% ] reimport | Dateien zum Neuimport vorbereiten …
[  83% ] reimport | Dateien zum Neuimport vorbereiten …
[  85% ] reimport | Dateien zum Neuimport vorbereiten …
[  88% ] reimport | Dateien zum Neuimport vorbereiten …
[  90% ] reimport | Dateien zum Neuimport vorbereiten …
[  92% ] reimport | Dateien zum Neuimport vorbereiten …
[  95% ] reimport | Dateien zum Neuimport vorbereiten …
[   0% ] reimport | Vor-Neuimport-Operationen ausführen …
[   0% ] preload_reimporting_scene | Started Szenen zum Neuladen vorbereiten (1 steps)
[   0% ] preload_reimporting_scene | Szene [leer] wird analysiert
[  50% ] preload_reimporting_scene | Vorbereitung abgeschlossen.
[ DONE ] preload_reimporting_scene

[   0% ] reimport | wallpaper_orm.png
[   2% ] reimport | wallpaper_normal.png
[   4% ] reimport | wallpaper_basecolor.png
[   7% ] reimport | room_m4_macro.png
[   9% ] reimport | painted_metal_orm.png
[  11% ] reimport | painted_metal_normal.png
[  14% ] reimport | painted_metal_basecolor.png
[  16% ] reimport | fixture_detail_orm.png
[  19% ] reimport | fixture_detail_normal.png
[  21% ] reimport | fixture_detail_emission.png
[  23% ] reimport | fixture_detail_basecolor.png
[  23% ] reimport | fixture_detail_basecolor.png
[  23% ] reimport | fixture_detail_basecolor.png
[  26% ] reimport | baseboard_basecolor.png
[  28% ] reimport | baseboard_normal.png
[  30% ] reimport | baseboard_orm.png
[  33% ] reimport | carpet_basecolor.png
[  35% ] reimport | carpet_normal.png
[  35% ] reimport | carpet_normal.png
[  35% ] reimport | carpet_normal.png
[  38% ] reimport | carpet_orm.png
[  40% ] reimport | ceiling_basecolor.png
[  40% ] reimport | ceiling_basecolor.png
[  42% ] reimport | ceiling_normal.png
[  45% ] reimport | ceiling_orm.png
[  45% ] reimport | ceiling_orm.png
[  47% ] reimport | diffuser_basecolor.png
[  50% ] reimport | diffuser_normal.png
[  52% ] reimport | diffuser_orm.png
[  54% ] reimport | wall_vent.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  57% ] reimport | wall_portal_366.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  59% ] reimport | wall_portal_244.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  61% ] reimport | wall_low_244.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  64% ] reimport | wall_366.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  66% ] reimport | wall_244.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  69% ] reimport | wall_122.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  71% ] reimport | wall_061.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  73% ] reimport | room_m4_architecture.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  76% ] reimport | floor_carpet_244.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  78% ] reimport | fixture_prismatic.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  80% ] reimport | fixture_exposed.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  83% ] reimport | cove_corner_090.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  85% ] reimport | column_086.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  88% ] reimport | column_061.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  90% ] reimport | ceiling_grid_244.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  92% ] reimport | ceiling_grid_122.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  95% ] reimport | ceiling_board_122.gltf
[   0% ] import | Started Szene importieren (104 steps)
[   0% ] import | Importiere Szene…
[   1% ] import | Eigenes Skript wird ausgeführt …
[  99% ] import | Speichern …
[ DONE ] import

[  97% ] reimport | Asset-Import fertigstellen …
[ DONE ] reimport

[   0% ] reimport | Started Assets (erneut) importieren (41 steps)
[   0% ] reimport | Nach-Neuimport-Operationen ausführen …
[ DONE ] reimport

[   0% ] loading_editor_layout | Started Editor laden (5 steps)
[   0% ] loading_editor_layout | Editor-Layout laden …
[  16% ] loading_editor_layout | Docks laden …
[ DONE ] loading_editor_layout

